0,375,351,0.84,26.6,49.8,7.5
1,373,354,0.84,26.61,42,5.9
2,378,359,0.84,26.91,43,5.9
3,371,354,0.84,27.84,34.4,5.2
4,375,359,0.84,27.48,22.1,4.8
5,370,357,0.84,26.34,44.5,4.1
6,372,361,0.84,28.01,19.8,3.2
7,374,369,0.84,27.29,12.4,1.7
8,382,378,0.84,27.37,7.1,1.4
9,387,389,0.84,26.44,6.1,-0.7
10,395,401,0.84,25.79,3.3,-1.8
11,397,405,0.84,25.39,1.1,-2.3
12,415,422,0.84,25.32,1.9,-2.2
13,417,423,0.84,25.24,0.7,-1.9
14,428,432,0.84,24.98,0,-1.2
15,418,422,0.84,24.67,0.6,-1.2
16,400,405,0.84,24.11,0.8,-1.6
17,409,414,0.84,24.12,0.6,-1.6
18,415,420,0.84,24.06,0.5,-1.6
19,424,427,0.84,23.89,7.5,-1.1
20,429,435,0.84,23.56,0.6,-1.9
21,442,445,0.84,23.52,0,-0.9
22,469,477,0.84,23.49,0,-2.5
23,481,480,0.84,23.35,0,0.3
24,482,487,0.84,23.25,0.3,-1.7
25,493,496,0.84,23.2,0,-0.9
26,487,493,0.84,23.17,0.1,-1.8
27,476,475,0.84,23.06,12.7,0.4
28,479,484,0.84,23.2,0.6,-1.6
29,498,505,0.84,23.23,0,-2.2
30,450,451,0.84,23.76,0.2,-0.4
31,438,423,0.84,24.34,0,4.7
32,435,413,0.84,24.92,3,7.1
33,427,406,0.84,25.37,1.6,6.4
34,421,386,0.84,25.51,2.2,11
35,415,383,0.84,25.92,9.4,10
36,405,367,0.84,27.7,24.2,11.8
37,395,360,0.84,28.45,32.7,11
38,391,365,0.84,28.44,70.8,8.2
39,384,374,0.84,30.25,44.8,2.9
40,385,357,0.84,27.87,29.7,8.9
41,385,364,0.84,29.43,51.9,6.7
42,383,372,0.84,30.82,63,3.3
43,384,362,0.84,30.04,32.6,6.9
44,385,362,0.84,28.63,51.5,7
45,383,360,0.84,29.61,35.2,7
46,379,371,0.84,29.9,49.8,2.7
47,376,361,0.84,29.09,51.8,4.6
48,376,365,0.84,30.01,28,3.3
49,368,358,0.84,30.82,54.7,3.2
50,367,358,0.84,30.1,40.1,2.9
51,366,358,0.84,27.8,40.9,2.4
52,371,363,0.84,29.18,33,2.5
53,374,370,0.84,29.96,22.3,1.4
54,379,378,0.84,27.73,13.1,0.2
55,388,387,0.84,27.26,11.1,0.3
56,396,396,0.84,26.41,9.3,0.2
57,408,414,0.84,26.26,4,-1.9
58,402,409,0.84,26.17,3.7,-2.4
59,406,412,0.84,25.89,1.9,-1.9
60,410,419,0.84,25.7,0,-2.8
61,421,427,0.84,25.46,0.7,-2.1
62,422,427,0.84,25.22,1,-1.6
63,419,425,0.84,25.02,0,-1.8
64,432,435,0.84,25.12,0,-1
65,433,439,0.84,25.06,0.8,-1.9
66,421,425,0.84,24.77,1.3,-1.2
67,419,425,0.84,24.78,0.2,-1.9
68,423,428,0.84,24.7,0.9,-1.6
69,425,434,0.84,24.49,0.7,-2.7
70,445,449,0.84,24.45,1,-1.2
71,458,464,0.84,24.48,0.5,-1.8
72,476,482,0.84,24.69,0.8,-1.9
73,485,488,0.84,24.9,0,-1
74,493,498,0.84,24.85,0.5,-1.6
75,498,502,0.84,25.12,0,-1.2
76,516,520,0.84,24.88,0,-1.3
77,506,511,0.84,24.97,0.9,-1.6
78,505,508,0.84,24.87,5.3,-0.9
79,501,491,0.84,25.37,2.1,3.1
80,495,448,0.84,25.89,0,14.8
81,432,774,0.84,26.24,4.9,-106.8
82,413,387,0.84,26.71,6.5,8.2
83,409,375,0.84,27.42,13,10.5
84,394,368,0.84,27.79,14.7,8.3
85,399,376,0.84,28.06,16.1,7.2
86,400,375,0.84,27.71,15.9,7.9
87,414,384,0.84,28.56,26.6,9.6
88,392,377,0.84,30.83,32.8,4.5
89,383,378,0.84,32.33,44,1.7
90,387,381,0.84,31.64,29.5,1.8
91,377,371,0.84,31.47,29.5,1.7
92,377,372,0.84,31.53,29.3,1.6
93,373,365,0.84,31.43,41.8,2.4
94,370,365,0.84,30.68,34.4,1.6
95,370,365,0.84,30.19,30.2,1.4
96,368,364,0.84,30.18,42.3,1.3
97,368,362,0.84,30.15,28.8,1.8
98,372,366,0.84,30.42,32.4,1.9
99,373,370,0.84,29.91,35.6,0.8
